,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
93,List of climate change books,https://en.wikipedia.org/wiki/List_of_climate_change_books,0,0,0,0,0,0,0,0,,,,,,,42845661,Allow all users (no expiry set),14559,23 May 2014,Wavelength,61,0,2014-05-23,2014-05,2014
94,Climate change in Arizona,https://en.wikipedia.org/wiki/Climate_change_in_Arizona,5,2,0,2,0,1,0,0,0,0.4,0.2,0.4,0,0.8,54374981,Allow all users (no expiry set),9719,23 June 2017,BD2412,45,2,2017-06-23,2017-06,2017
95,Climate change in Alaska,https://en.wikipedia.org/wiki/Climate_change_in_Alaska,17,2,3,3,0,5,0,1,0.1764705882,0.1764705882,0.2941176471,0.1176470588,0,0.4705882353,41093891,Allow all users (no expiry set),22583,22 August 2008,Nukeless,173,1,2008-08-22,2008-08,2008
96,Climate change in Indonesia,https://en.wikipedia.org/wiki/Climate_change_in_Indonesia,32,10,6,0,0,11,0,1,0.1875,0,0.34375,0.3125,0,0.5,59267487,Allow all users (no expiry set),18014,5 December 2018,Oliveleaf4,110,4,2018-12-05,2018-12,2018
97,Climate change in Sri Lanka,https://en.wikipedia.org/wiki/Climate_change_in_Sri_Lanka,43,10,20,1,2,7,0,0,0.4651162791,0.02325581395,0.1627906977,0.2325581395,0.04651162791,0.7674418605,30783812,Allow all users (no expiry set),41288,7 February 2011,Julie88800,276,0,2011-02-07,2011-02,2011
98,Climate change and birds,https://en.wikipedia.org/wiki/Climate_change_and_birds,11,11,0,0,0,0,0,0,0,0,0,1,0,1,63221967,Allow all users (no expiry set),13151,27 February 2020,CaptainEek,24,0,2020-02-27,2020-02,2020
99,Climate change in Taiwan,https://en.wikipedia.org/wiki/Climate_change_in_Taiwan,13,1,1,0,0,7,0,0,0.07692307692,0,0.5384615385,0.07692307692,0,0.1538461538,59175900,Allow all users (no expiry set),10074,27 November 2018,Jarble,44,6,2018-11-27,2018-11,2018
100,Climate change in Nepal,https://en.wikipedia.org/wiki/Climate_change_in_Nepal,30,5,10,6,1,2,0,1,0.3333333333,0.2,0.06666666667,0.1666666667,0.03333333333,0.7333333333,38596689,Allow all users (no expiry set),27154,21 February 2013,Budhathokyp,141,1,2013-02-21,2013-02,2013
101,Climate change in Austria,https://en.wikipedia.org/wiki/Climate_change_in_Austria,15,0,2,0,0,1,0,0,0.1333333333,0,0.06666666667,0,0,0.1333333333,59175779,Allow all users (no expiry set),12364,27 November 2018,Jarble,13,0,2018-11-27,2018-11,2018
102,Climate change in Montana,https://en.wikipedia.org/wiki/Climate_change_in_Montana,45,2,10,20,0,6,0,0,0.2222222222,0.4444444444,0.1333333333,0.04444444444,0,0.7111111111,33904961,Allow all users (no expiry set),26030,29 November 2011,UMClimateLaw,139,2,2011-11-29,2011-11,2011
103,Glossary of climate change,https://en.wikipedia.org/wiki/Glossary_of_climate_change,3,0,1,1,0,0,0,0,0.3333333333,0.3333333333,0,0,0,0.6666666667,888264,Allow all users (no expiry set),24272,9 August 2004,Ed Poor,357,1,2004-08-09,2004-08,2004
104,Climate change in Michigan,https://en.wikipedia.org/wiki/Climate_change_in_Michigan,7,2,1,3,0,1,0,0,0.1428571429,0.4285714286,0.1428571429,0.2857142857,0,0.8571428571,54375071,Allow all users (no expiry set),11648,23 June 2017,BD2412,47,1,2017-06-23,2017-06,2017
105,2015 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2015_United_Nations_Climate_Change_Conference,63,1,18,1,1,20,0,6,0.2857142857,0.01587301587,0.3174603175,0.01587301587,0.01587301587,0.3333333333,41793940,Allow all users (no expiry set),49729,30 January 2014,Gproud,817,0,2014-01-30,2014-01,2014
106,European Climate Change Programme,https://en.wikipedia.org/wiki/European_Climate_Change_Programme,13,0,3,0,0,5,0,1,0.2307692308,0,0.3846153846,0,0,0.2307692308,2348957,Allow all users (no expiry set),7823,31 July 2005,Rd232,97,0,2005-07-31,2005-07,2005
107,Climate change in Mississippi,https://en.wikipedia.org/wiki/Climate_change_in_Mississippi,3,1,0,1,0,1,0,0,0,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,54375076,Allow all users (no expiry set),7120,23 June 2017,BD2412,38,1,2017-06-23,2017-06,2017
108,2009 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2009_United_Nations_Climate_Change_Conference,163,1,27,8,0,50,0,20,0.1656441718,0.0490797546,0.3067484663,0.006134969325,0,0.2208588957,15718582,Allow all users (no expiry set),112632,12 February 2008,Eric Kvaalen,1542,0,2008-02-12,2008-02,2008
109,Climate change in Fiji,https://en.wikipedia.org/wiki/Climate_change_in_Fiji,47,6,15,4,0,7,0,1,0.3191489362,0.08510638298,0.1489361702,0.1276595745,0,0.5319148936,67159178,Allow all users (no expiry set),31210,20 March 2021,OliverEastwood,23,0,2021-03-20,2021-03,2021
110,Climate Change Science Program,https://en.wikipedia.org/wiki/Climate_Change_Science_Program,52,0,4,39,0,4,0,0,0.07692307692,0.75,0.07692307692,0,0,0.8269230769,5004886,Allow all users (no expiry set),54149,4 May 2006,Simesa,333,0,2006-05-04,2006-05,2006
111,Climate change in Tanzania,https://en.wikipedia.org/wiki/Climate_change_in_Tanzania,21,9,5,0,0,0,0,0,0.2380952381,0,0,0.4285714286,0,0.6666666667,59045651,Allow all users (no expiry set),14514,13 November 2018,Jarble,41,1,2018-11-13,2018-11,2018
112,Climate change in Guatemala,https://en.wikipedia.org/wiki/Climate_change_in_Guatemala,18,0,8,0,0,8,0,0,0.4444444444,0,0.4444444444,0,0,0.4444444444,60456768,Allow all users (no expiry set),11765,9 April 2019,Jarble,15,0,2019-04-09,2019-04,2019
113,Climate change in Tennessee,https://en.wikipedia.org/wiki/Climate_change_in_Tennessee,9,1,1,3,0,3,0,0,0.1111111111,0.3333333333,0.3333333333,0.1111111111,0,0.5555555556,54375247,Allow all users (no expiry set),11118,23 June 2017,BD2412,44,4,2017-06-23,2017-06,2017
114,Cloud formation and climate change,https://en.wikipedia.org/wiki/Cloud_formation_and_climate_change,5,0,0,0,1,4,0,0,0,0,0.8,0,0.2,0.2,538820,Allow all users (no expiry set),4226,20 March 2004,Danny,111,1,2004-03-20,2004-03,2004
115,Climate change in Ohio,https://en.wikipedia.org/wiki/Climate_change_in_Ohio,13,1,3,4,0,1,0,0,0.2307692308,0.3076923077,0.07692307692,0.07692307692,0,0.6153846154,60513833,Allow all users (no expiry set),9947,23 June 2017,BD2412,38,0,2017-06-23,2017-06,2017
116,2018 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2018_United_Nations_Climate_Change_Conference,23,0,2,1,0,9,0,6,0.08695652174,0.04347826087,0.3913043478,0,0,0.1304347826,59168443,Allow all users (no expiry set),17811,27 November 2018,Shiftchange,143,0,2018-11-27,2018-11,2018
117,Climate change in Kentucky,https://en.wikipedia.org/wiki/Climate_change_in_Kentucky,4,0,1,1,0,2,0,0,0.25,0.25,0.5,0,0,0.5,54375059,Allow all users (no expiry set),7905,23 June 2017,BD2412,40,1,2017-06-23,2017-06,2017
118,Climate change in Virginia,https://en.wikipedia.org/wiki/Climate_change_in_Virginia,5,1,0,1,0,2,0,0,0,0.2,0.4,0.2,0,0.4,54375254,Allow all users (no expiry set),10553,23 June 2017,BD2412,45,1,2017-06-23,2017-06,2017
119,Climate change in Massachusetts,https://en.wikipedia.org/wiki/Climate_change_in_Massachusetts,21,1,4,9,0,5,0,0,0.1904761905,0.4285714286,0.2380952381,0.04761904762,0,0.6666666667,18948279,Allow all users (no expiry set),13498,20 August 2008,Nukeless,93,1,2008-08-20,2008-08,2008
120,2012 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2012_United_Nations_Climate_Change_Conference,29,2,6,2,0,6,0,2,0.2068965517,0.06896551724,0.2068965517,0.06896551724,0,0.3448275862,35740340,Require administrator access (no expiry set),29399,7 May 2012,Nepomuk 3,418,0,2012-05-07,2012-05,2012
121,Climate change in Morocco,https://en.wikipedia.org/wiki/Climate_change_in_Morocco,7,1,3,1,1,0,0,0,0.4285714286,0.1428571429,0,0.1428571429,0.1428571429,0.8571428571,59045700,Allow all users (no expiry set),6615,13 November 2018,Jarble,29,1,2018-11-13,2018-11,2018
122,Climate change in Finland,https://en.wikipedia.org/wiki/Climate_change_in_Finland,75,1,6,0,1,3,0,2,0.08,0,0.04,0.01333333333,0.01333333333,0.1066666667,33104401,Allow all users (no expiry set),45923,16 September 2011,Watti Renew,217,1,2011-09-16,2011-09,2011
123,Climate change in Maryland,https://en.wikipedia.org/wiki/Climate_change_in_Maryland,6,1,0,3,0,2,0,0,0,0.5,0.3333333333,0.1666666667,0,0.6666666667,54375070,Allow all users (no expiry set),11762,23 June 2017,BD2412,50,2,2017-06-23,2017-06,2017
124,Climate change in Argentina,https://en.wikipedia.org/wiki/Climate_change_in_Argentina,9,2,0,4,0,2,0,0,0,0.4444444444,0.2222222222,0.2222222222,0,0.6666666667,47658691,Allow all users (no expiry set),17912,29 August 2015,Jarble,62,0,2015-08-29,2015-08,2015
125,Women in climate change,https://en.wikipedia.org/wiki/Women_in_climate_change,333,8,69,4,5,45,0,3,0.2072072072,0.01201201201,0.1351351351,0.02402402402,0.01501501502,0.2582582583,46418619,Allow all users (no expiry set),139369,15 April 2015,Dianaliverman,322,5,2015-04-15,2015-04,2015
126,Climate change in Alabama,https://en.wikipedia.org/wiki/Climate_change_in_Alabama,8,0,0,1,0,7,0,0,0,0.125,0.875,0,0,0.125,54374960,Allow all users (no expiry set),12299,23 June 2017,BD2412,72,0,2017-06-23,2017-06,2017
127,Climate change in North Korea,https://en.wikipedia.org/wiki/Climate_change_in_North_Korea,25,2,4,2,1,6,0,1,0.16,0.08,0.24,0.08,0.04,0.36,65684066,Allow all users (no expiry set),21111,26 October 2020,OliverEastwood,41,0,2020-10-26,2020-10,2020
128,Climate change in New York (state),https://en.wikipedia.org/wiki/Climate_change_in_New_York_(state),19,1,1,6,0,11,0,0,0.05263157895,0.3157894737,0.5789473684,0.05263157895,0,0.4210526316,60863625,Allow all users (no expiry set),14623,23 May 2019,BD2412,54,2,2019-05-23,2019-05,2019
129,Climate change in Honduras,https://en.wikipedia.org/wiki/Climate_change_in_Honduras,13,3,7,0,0,1,0,0,0.5384615385,0,0.07692307692,0.2307692308,0,0.7692307692,60660154,Allow all users (no expiry set),8526,4 May 2019,Oliveleaf4,27,0,2019-05-04,2019-05,2019
130,Mycorrhizae and climate change,https://en.wikipedia.org/wiki/Mycorrhizae_and_climate_change,20,15,2,1,0,0,0,0,0.1,0.05,0,0.75,0,0.9,59393212,Allow all users (no expiry set),28241,14 December 2018,Bschalip,43,0,2018-12-14,2018-12,2018
131,2014 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2014_United_Nations_Climate_Change_Conference,6,0,2,0,0,0,0,2,0.3333333333,0,0,0,0,0.3333333333,41789698,Allow all users (no expiry set),6158,30 January 2014,Gproud,100,0,2014-01-30,2014-01,2014
132,Climate change in Wisconsin,https://en.wikipedia.org/wiki/Climate_change_in_Wisconsin,17,1,4,3,0,2,0,0,0.2352941176,0.1764705882,0.1176470588,0.05882352941,0,0.4705882353,54375264,Allow all users (no expiry set),15854,23 June 2017,BD2412,47,8,2017-06-23,2017-06,2017
133,2016 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2016_United_Nations_Climate_Change_Conference,25,0,7,0,0,3,0,2,0.28,0,0.12,0,0,0.28,48808018,Allow all users (no expiry set),21941,13 December 2015,L.tak,111,1,2015-12-13,2015-12,2015
134,Climate change in Algeria,https://en.wikipedia.org/wiki/Climate_change_in_Algeria,4,1,2,0,0,0,0,1,0.5,0,0,0.25,0,0.75,59045633,Allow all users (no expiry set),5035,13 November 2018,Jarble,31,2,2018-11-13,2018-11,2018
135,Climate change in Thailand,https://en.wikipedia.org/wiki/Climate_change_in_Thailand,38,3,5,0,0,20,0,2,0.1315789474,0,0.5263157895,0.07894736842,0,0.2105263158,52771090,Allow all users (no expiry set),23017,4 January 2017,Jarble,17,10,2017-01-04,2017-01,2017
136,Disability and climate change,https://en.wikipedia.org/wiki/Disability_and_climate_change,27,1,14,0,0,2,0,0,0.5185185185,0,0.07407407407,0.03703703704,0,0.5555555556,67470453,Allow all users (no expiry set),21210,22 April 2021,Fritzmann2002,41,0,2021-04-22,2021-04,2021
137,Climate change art,https://en.wikipedia.org/wiki/Climate_change_art,46,7,12,0,0,15,0,3,0.2608695652,0,0.3260869565,0.152173913,0,0.4130434783,60815189,Allow all users (no expiry set),40213,20 May 2019,Valereee,146,0,2019-05-20,2019-05,2019
138,Climate change in Indiana,https://en.wikipedia.org/wiki/Climate_change_in_Indiana,7,1,4,1,0,1,0,0,0.5714285714,0.1428571429,0.1428571429,0.1428571429,0,0.8571428571,54375040,Allow all users (no expiry set),9851,23 June 2017,BD2412,43,1,2017-06-23,2017-06,2017
139,Climate change in Minnesota,https://en.wikipedia.org/wiki/Climate_change_in_Minnesota,5,1,2,1,0,1,0,0,0.4,0.2,0.2,0.2,0,0.8,54375075,Allow all users (no expiry set),10368,23 June 2017,BD2412,51,2,2017-06-23,2017-06,2017
140,Climate change in Kansas,https://en.wikipedia.org/wiki/Climate_change_in_Kansas,4,1,0,1,0,2,0,0,0,0.25,0.5,0.25,0,0.5,54375058,Allow all users (no expiry set),7160,23 June 2017,BD2412,37,1,2017-06-23,2017-06,2017
141,Climate change in Vermont,https://en.wikipedia.org/wiki/Climate_change_in_Vermont,16,1,2,12,0,1,0,0,0.125,0.75,0.0625,0.0625,0,0.9375,54375251,Allow all users (no expiry set),10752,23 June 2017,BD2412,67,1,2017-06-23,2017-06,2017
142,List of parties to the United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/List_of_parties_to_the_United_Nations_Framework_Convention_on_Climate_Change,29,0,7,0,0,0,0,0,0.2413793103,0,0,0,0,0.2413793103,39790028,Allow all users (no expiry set),30374,27 June 2013,Danlaycock,64,0,2013-06-27,2013-06,2013
143,Climate Change Denial Disorder,https://en.wikipedia.org/wiki/Climate_Change_Denial_Disorder,23,0,1,0,0,17,0,1,0.04347826087,0,0.7391304348,0,0,0.04347826087,50090841,Allow all users (no expiry set),20449,9 April 2016,Cirt,74,0,2016-04-09,2016-04,2016
144,Climate change in Nebraska,https://en.wikipedia.org/wiki/Climate_change_in_Nebraska,5,1,0,1,0,1,0,0,0,0.2,0.2,0.2,0,0.4,54375083,Allow all users (no expiry set),8834,23 June 2017,BD2412,44,1,2017-06-23,2017-06,2017
145,Attribution of recent climate change,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change,112,21,12,23,26,9,0,0,0.1071428571,0.2053571429,0.08035714286,0.1875,0.2321428571,0.7321428571,3201,Require autoconfirmed or confirmed access (no expiry set),106684,16 January 2002,Ed Poor,1455,1,2002-01-16,2002-01,2002
146,Climate change policy of California,https://en.wikipedia.org/wiki/Climate_change_policy_of_California,46,1,6,31,0,5,0,0,0.1304347826,0.6739130435,0.1086956522,0.02173913043,0,0.8260869565,58044764,Allow all users (no expiry set),30055,1 August 2018,Gagarine,42,1,2018-08-01,2018-08,2018
147,National Climate Change Secretariat,https://en.wikipedia.org/wiki/National_Climate_Change_Secretariat,11,0,0,9,0,2,0,0,0,0.8181818182,0.1818181818,0,0,0.8181818182,62350766,Allow all users (no expiry set),7760,15 November 2019,Nubenruben,48,0,2019-11-15,2019-11,2019
148,Climate change in Iowa,https://en.wikipedia.org/wiki/Climate_change_in_Iowa,3,1,0,1,0,1,0,0,0,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,54375041,Allow all users (no expiry set),5977,23 June 2017,BD2412,34,1,2017-06-23,2017-06,2017
149,Climate change in Belgium,https://en.wikipedia.org/wiki/Climate_change_in_Belgium,11,0,1,0,0,0,0,0,0.09090909091,0,0,0,0,0.09090909091,31893579,Allow all users (no expiry set),9708,26 May 2011,Watti Renew,69,0,2011-05-26,2011-05,2011
150,Climate change in Cambodia,https://en.wikipedia.org/wiki/Climate_change_in_Cambodia,14,3,6,0,0,3,0,2,0.4285714286,0,0.2142857143,0.2142857143,0,0.6428571429,58625278,Allow all users (no expiry set),9082,1 October 2018,Jarble,24,10,2018-10-01,2018-10,2018
151,Special Report on Climate Change and Land,https://en.wikipedia.org/wiki/Special_Report_on_Climate_Change_and_Land,52,1,2,0,38,6,0,1,0.03846153846,0,0.1153846154,0.01923076923,0.7307692308,0.7884615385,61479650,Allow all users (no expiry set),42316,9 August 2019,Oceanflynn,133,3,2019-08-09,2019-08,2019
152,Climate change in South Carolina,https://en.wikipedia.org/wiki/Climate_change_in_South_Carolina,8,1,1,1,0,4,0,0,0.125,0.125,0.5,0.125,0,0.375,54375243,Allow all users (no expiry set),10600,23 June 2017,BD2412,41,0,2017-06-23,2017-06,2017
153,2013 United Nations Climate Change Conference,https://en.wikipedia.org/wiki/2013_United_Nations_Climate_Change_Conference,22,0,4,4,0,7,0,4,0.1818181818,0.1818181818,0.3181818182,0,0,0.3636363636,38585538,Allow all users (no expiry set),20918,20 February 2013,Nepomuk 3,143,0,2013-02-20,2013-02,2013
154,Climate change in Guam,https://en.wikipedia.org/wiki/Climate_change_in_Guam,3,0,0,1,0,2,0,0,0,0.3333333333,0.6666666667,0,0,0.3333333333,54374998,Allow all users (no expiry set),9932,23 June 2017,BD2412,40,1,2017-06-23,2017-06,2017
155,Economics of climate change mitigation,https://en.wikipedia.org/wiki/Economics_of_climate_change_mitigation,92,13,27,3,19,11,0,3,0.2934782609,0.03260869565,0.1195652174,0.1413043478,0.2065217391,0.6739130435,26267837,Allow all users (no expiry set),108518,20 February 2010,Enescot,381,9,2010-02-20,2010-02,2010
156,Climate change in Arkansas,https://en.wikipedia.org/wiki/Climate_change_in_Arkansas,13,1,3,5,0,4,0,0,0.2307692308,0.3846153846,0.3076923077,0.07692307692,0,0.6923076923,54374984,Allow all users (no expiry set),9200,23 June 2017,BD2412,79,0,2017-06-23,2017-06,2017
157,Climate change in South Dakota,https://en.wikipedia.org/wiki/Climate_change_in_South_Dakota,9,1,1,2,0,4,0,0,0.1111111111,0.2222222222,0.4444444444,0.1111111111,0,0.4444444444,61849574,Allow all users (no expiry set),12095,23 June 2017,BD2412,48,0,2017-06-23,2017-06,2017
158,Climate change in Spain,https://en.wikipedia.org/wiki/Climate_change_in_Spain,6,0,2,0,0,3,0,0,0.3333333333,0,0.5,0,0,0.3333333333,59175708,Allow all users (no expiry set),5042,27 November 2018,Jarble,14,0,2018-11-27,2018-11,2018
159,Climate Change TV,https://en.wikipedia.org/wiki/Climate_Change_TV,11,0,6,0,0,0,0,0,0.5454545455,0,0,0,0,0.5454545455,27678891,Allow all users (no expiry set),4270,11 June 2010,Gohicks,50,0,2010-06-11,2010-06,2010
160,Climate change in Maine,https://en.wikipedia.org/wiki/Climate_change_in_Maine,4,1,0,1,0,2,0,0,0,0.25,0.5,0.25,0,0.5,54375068,Allow all users (no expiry set),8036,23 June 2017,BD2412,40,2,2017-06-23,2017-06,2017
161,Climate change in Utah,https://en.wikipedia.org/wiki/Climate_change_in_Utah,4,1,1,1,0,1,0,0,0.25,0.25,0.25,0.25,0,0.75,54375248,Allow all users (no expiry set),7058,23 June 2017,BD2412,32,1,2017-06-23,2017-06,2017
162,Climate change in Kyrgyzstan,https://en.wikipedia.org/wiki/Climate_change_in_Kyrgyzstan,15,2,5,1,0,0,0,1,0.3333333333,0.06666666667,0,0.1333333333,0,0.5333333333,59175908,Allow all users (no expiry set),12590,27 November 2018,Jarble,18,1,2018-11-27,2018-11,2018
163,Climate change in Delaware,https://en.wikipedia.org/wiki/Climate_change_in_Delaware,4,1,0,1,0,1,0,0,0,0.25,0.25,0.25,0,0.5,54374994,Allow all users (no expiry set),9318,23 June 2017,BD2412,41,1,2017-06-23,2017-06,2017
